Time,Escenario Norte,Escenario Sur,Escenario Montaña,Escenario Boomerang,Escenario Sorpresa,Escenario La Plaza,Escenario La Casita
14:10,KILL FLORA,FANTASMAGORÍA,CHECHI DE MARCOS,MICROTUL,,,GOLO’S BAND
14:30,SOFI MORA,,,1915,,,
14:50,,,,MICROTUL,,,
15:00,,,RYAN,,,,
15:05,,,,,,,LOS MENTIDORES
15:10,KAPANGA,,,,,,
15:20,ERUCA SATIVA,,,,,,
15:20,,LA MISSISSIPPI,,,,,
15:40,,,,,,,
15:50,,,BERSUIT VERGARABAT,,FALSED,,
15:50,,MALANDRO,,,,,
16:00,,,,,,CLAUDIO RICCI,
16:10,,,,,,,
16:25,,,,,,,
16:30,EL ZAR,,,,,,
16:30,,EMI,,,,,
16:50,,,,,,,LE DRACS
17:00,,,RYAN,,,,
17:00,,,,,,VALENTIN HUEBO B2B BRUZ,
17:20,,HERMANOS GUTIÉRREZ,,,,,
17:45,,,,,,,PERRO SUIZO
17:50,,CRUZANDO EL CHARCO,,,,,
17:50,TURF,,,,,,
18:20,,,,,,,
18:30,,,,,,,
18:40,,,EL KUELGUE,,SORPRESA,,MISTY SOUL CHOIR
18:40,,DEVENDRA BANHART,,,,,
19:00,,,,,,LEHAR B2B SANTIAGO GARCÍA,
19:20,,,,ESTELARES,,,
19:30,DILLON,,,,,,
19:35,,,,,,,TANGO & ROLL
19:40,,,,,,,
20:30,,,CUARTETO DE NOS,,,,WAYRA IGLESIAS
20:40,,,,ABEL PINTOS,,,
20:40,,,,,,,
20:40,,,,,,,
21:00,,,,,,,
21:00,,,,,,,
21:20,BABASONICOS,,,,,,
21:25,,,,,,,LOS ESPIRITUS
21:40,,LA VELA PUERCA,,,,,
21:50,,,,LA FRANELA,,,
22:20,,,,,SORPRESA,,
22:30,,,,,,,PITI FERNÁNDEZ
22:30,,,,,,SORÄ,
22:40,,,FRANZ FERDINAND,,,,
23:10,,,,COTI,,,
23:20,LALI,LAS PELOTAS,,,,,
23:35,,,,,,,LES DIABOLETTES
0:00,,,THE CHEMICAL BROTHERS,,,,
0:30,,,,AMIGO DE ARTISTAS,,,
0:40,VIEJAS LOCAS/JÓVENES PORDIOSEROS,,VICTORIA WHYNOT,,,,